Sentence,Movie 
"If he knew how I was living, if he saw this place, he'd be sick. I don't know how else to explain it to you.",Joker
"They're being loud and obnoxious, and they're clearly inebriated. One of them is eating McDonald's french fries from a greasy bag.",Joker
"The third Wall Streeter, on the other hand, isn't paying attention to his pals. 
He has his gaze fixed on the young woman reading her book across from him.",Joker
"He takes a sharp turn high-tailing into a small, run-down needle park, disappearing into the darkness, 
running as fast as he can past piles of garbage.",Joker
"He approaches the curtain, the light, and takes his battered joke-notebook from his back pocket. Looking around the room, 
he notices that there is quite a crowd.",Joker
"As he leaves the room, he picks up his mother in his arms and carries her into her bedroom to the music, 
almost as if he's dancing with her…",Joker
"Aaron looks through the security window and notices a DOCTOR writing something down and speaking to a PATIENT as well as a guard, KUNEMAN.",Halloween
"Michael Myers, like us, is an evolving, aging creature. And, despite the fact that we have collaborated closely with him, these halls demonstrate the limitations of my analysis.",Halloween
"In the sunshine, a patient wearing AN UMBRELLA bites a fingernail and smiles at them.",Halloween
Sartain seeks reassurance from the security guards before leading Aaron and Dana to the yellow line on the concrete.,Halloween
"Allyson takes a jog through a residential community garden. Flowers, vegetables, and so on. Much of it is no longer alive.",Halloween
"Dave sets off a firecracker, stuffs it into a jack-o-lantern, and places it on the sidewalk.",Halloween
Laurie knows how to disassemble and clean her firearms. She's dressed in a tank top that exposes a scar across her shoulder.,Halloween
Aaron and Dana come to a halt in front of an intercom next to an overflowing mail box.,Halloween
Allyson closes her locker with a handful of books before turning to be startled by a figure standing behind her. CAMERON ELAM is revealed (17).,Halloween
"Outside, Kuneman and Haskell walk a line of 12 patients, including a wild-eyed man, LYNCH, who is walking behind The Shape.",Halloween
"N'JOBU (30s), an African man, sorts through firearms and goes over maps with another man, JAMES (20s , African American)",Black-Panther
"TWODORAMILAJE (members of the All Female Wakandan Special Forces) enter slowly, carrying LARGE SPEARS, and they look at N' Jobu.",Black-Panther
"Young T' Chaka takes off his mask, hands it to Dora, and the women step out into the hall, closing the door behind them.",Black-Panther
"T'Challa, dressed in his Black Panther armor, sits at the ROYALTALONFIGHTER's console.",Black-Panther
T'Challa looks at the Young Militant for a beat before disappearing through the trees with Nakia and Okoye.,Black-Panther
Employees of the museum congregate outside as tourists and school groups make their way to the main entrance.,Black-Panther
"LINDA, A young black barista , looks on as TWOEMTs push a
          STRETCHERthrough the entrance .",Black-Panther
"My Majesty.
Drums begin to beat, and people begin to dance. During the celebration, T'Challa and Nakia look into each other's eyes.",Black-Panther
The kinetic energy is absorbed by the nanites and held in place for later redistribution.,Black-Panther
"Klaue and his men walk through the metal detector, and EVERY SINGLE ONE OF THEM TURNS ON.",Black-Panther
PANAGLIDE WITH REESE as he slams into a chain link gate at full speed and scrambles over it.,Terminator
Sarah buzzes into Big Bob's Family Restaurant's parking lot and chains the moped to the icon of Big Bob himself.,Terminator
"Breen takes a turn at the restaurant's small accounting computer, punching up a display.",Terminator
"The man is bear-like and slab-handed, but Terminator doesn't even look back as he steps in to take his place.",Terminator
"Give me a falafel with yogurt dressing and Baco-bits, please.",Terminator
Nancy directs Sarah to the small black-and-white portable television in the corner.,Terminator
"Ginger is fiddling with her always-present WALKMAN-TYPE CASSETTE PLAYER at her hip. As they walk, she puts on her earphones.",Terminator
DOLLYING WITH VUKOVICH AND TRAXLER AS THEY PASS BY A GROUPE OF REPORTERS,Terminator
"An LAPD black-and-white sits on the curb in front of Sarah's building, drinking coffee with two cops inside.",Terminator
"The raging fire behind the bar is quickly spreading.
The smoke fills the air.",Terminator
"SNOOP DOG drives away from the sub, its umbilical trailing behind it like a robot yo-yo.",Titanic
We are aboard the Russian research ship AKADEMIK MISTISLAV KELDYSH.,Titanic
"Nathan Hockley, on the right. Steel magnate from Pittsburgh. For a diamond necklace his son Caledon Hockley purchased in France for his fiancee... you... a week before boarding the Titanic.",Titanic
"Without an acting muscle in her body, Mary Marvin performs a bad Clara Bow pantomime of awe, hands raised.",Titanic
"Jack and Fabrizio sprint toward the pier, kit bags on their shoulders carrying everything they own in the world.",Titanic
THE NUMBER 47 IN THE BEDROOM Rose walks in with a large Degas painting of the dancers.,Titanic
"He watches the white V of water hurled outward from the bows with contentment, as if it were an expression of his own personal power.",Titanic
"TOMMY RYAN, a scowling young Irish emigrant, looks on as a crewmember walks three small dogs around the deck.",Titanic
"Jack is kicking back on one of the benches, gazing up at the stars that are blazing brightly above him.",Titanic
"One of the Mir subs is swung out over the water by the large hydraulic jib.
Lovett walks while speaking with the partners' representative, Bobby Buell.",Titanic
"TRAVIS is writing at a plain table. He is dressed in a shirt, jeans, and boots.",Taxi-Driver
Betsy's focus is diverted by something she notices across the street.,Taxi-Driver
Tom walks briskly out the front door and across the street toward Travis' taxi.,Taxi-Driver
"What do you think? I put on the emergency, jumped in the seat, and fucked her brains out - what do you think?",Taxi-Driver
"Harlem Specials that blow up in your hand are brought up by truck drivers.
But this guy isn't a jerk.",Taxi-Driver
"As we watch Travis enter Palantine's headquarters, we are surprised to discover that he is quite attractive.",Taxi-Driver
"When a young SALESGIRL notices his plight, she walks over and asks if he needs any assistance. Travis INAUDIBLY addresses her by name, despite the fact that the name is clearly Kris Kristofferson.",Taxi-Driver
PALANTINE and AIDE exit the cab. SECOND AIDE remains in the back seat for a brief moment to pay TRAVIS.,Taxi-Driver
"At PALANTINE HEADQUARTERS, a drama is unfolding: Travis, groggy and red-eyed from a lack of sleep, walks into the campaign headquarters around NOONTIME.",Taxi-Driver
"29th of May, 1972 I need to get in shape.
My body has suffered as a result of too much sitting.
Every morning, I do twenty-five push-ups, one hundred sit-ups, and one hundred knee bends.",Taxi-Driver
